Rainfall (inch/month)																																									
Year Month	WBA10	WBA11	WBA12	WBA13	WBA14	WBA15N	WBA15S	WBA16	WBA17N	WBA17S	WBA18	WBA19	WBA2	WBA20	WBA21	WBA22	WBA23	WBA24	WBA25	WBA26N	WBA26S	WBA3	WBA4	WBA5	WBA6	WBA60N	WBA60S	WBA61	WBA62	WBA63	WBA64	WBA70	WBA71	WBA72	WBA73	WBA7N	WBA7S	WBA8N	WBA8S	WBA9	WBA90
1922  12	9.3601	9.0170	10.8440	13.9187	13.3037	10.1454	9.7064	9.2756	7.3819	8.1425	7.6993	8.3768	7.0065	8.5539	5.9191	6.4549	8.6655	10.5563	7.9661	6.3692	6.0502	7.1073	5.3061	7.6167	4.4308	5.0660	4.3063	4.6981	4.0316	3.5713	2.9509	4.4334	3.8592	2.5743	2.2855	4.4982	7.6999	6.2384	6.8864	7.1798	4.1377
1923  01	3.7053	3.0378	3.2053	4.1804	3.7127	2.8313	2.7088	2.5885	2.1177	2.3177	2.1817	2.3593	3.4452	2.4099	1.9758	2.0676	2.4656	3.0667	2.2008	2.1335	2.0247	3.6406	1.7153	2.8707	1.4480	1.3089	1.3589	2.4512	2.0915	1.5884	1.1967	1.8499	1.9118	1.5341	1.3535	1.4462	2.1984	1.9749	1.9650	2.3769	1.5146
1923  02	1.8469	1.1857	0.8392	1.1563	0.7667	0.5847	0.5594	0.5346	0.7896	0.6071	0.6531	0.4797	0.9431	0.6345	0.2932	0.3310	0.4921	0.5898	0.5930	0.3122	0.2973	0.9616	0.6649	1.3578	0.5116	0.9674	0.6611	0.4735	0.3752	0.4281	0.3205	0.7655	0.4467	0.0601	0.0478	0.5150	0.7660	0.7930	0.6785	1.0310	0.6421
1923  03	0.0000	0.0970	0.2354	0.2878	0.3363	0.2565	0.2454	0.2345	0.0479	0.1705	0.1149	0.2288	0.6054	0.0648	0.4078	0.3775	0.2571	0.3640	0.0663	0.4475	0.4243	0.6884	0.0091	0.0041	0.0290	0.1308	0.1168	0.3113	0.1168	0.1419	0.2032	0.8931	0.4578	0.2498	0.2375	0.0293	0.0490	0.0322	0.0596	0.0277	0.1191
1923  04	4.6629	3.8067	3.8423	5.0268	4.3987	3.3545	3.2093	3.0669	3.0628	2.9906	2.9033	2.8222	4.8561	2.4771	2.7520	2.7931	2.9822	3.7890	2.2516	2.9869	2.8342	4.9743	3.1749	3.9799	2.1719	2.3133	1.6302	2.0515	2.5630	3.6333	3.8047	1.2971	1.7758	2.6513	2.5065	2.1589	2.9630	2.7807	2.7166	3.2213	2.7177
1923  05	0.7068	0.5016	0.4830	0.6403	0.5246	0.4001	0.3828	0.3658	0.2034	0.2762	0.2532	0.3196	0.5377	0.0513	0.0763	0.1290	0.3194	0.3593	0.0579	0.0833	0.0794	0.5699	0.2345	0.5111	0.1448	0.1307	0.1867	0.2882	0.0775	0.0835	0.0346	0.9356	0.4166	0.0246	0.0197	0.1443	0.1732	0.2393	0.1883	0.3374	0.0987
1923  06	0.9577	0.6144	0.5335	0.7198	0.5381	0.4103	0.3926	0.3752	0.1436	0.2586	0.2223	0.3283	1.8712	0.0399	0.0857	0.1384	0.3287	0.3714	0.0318	0.0937	0.0888	1.8018	1.6903	1.1881	0.6564	0.0158	0.0663	0.2267	0.0021	0.0000	0.0000	0.9250	0.3828	0.0000	0.0000	0.5869	0.1265	0.3737	0.1437	0.3808	0.0000
1923  07	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0075	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0085	0.0000	0.0000	0.0000	0.0000	0.1135	0.3882	0.0036	0.0098	0.0002	1.5841	0.6844	0.1423	0.1332	0.0000	0.0000	0.0000	0.0000	0.0000	0.0305
1923  08	0.0114	0.0054	0.0019	0.0031	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1121	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1275	0.0000	0.0068	0.0000	0.0000	0.0686	0.2345	0.0022	0.0000	0.0000	0.9569	0.3960	0.0000	0.0000	0.0000	0.0000	0.0016	0.0000	0.0035	0.0000
1923  09	1.9267	1.2850	0.8617	1.1894	0.7802	0.5950	0.5692	0.5440	1.1964	0.7834	0.8905	0.5009	3.1770	0.9140	0.4865	0.4884	0.5277	0.6689	0.7924	0.5204	0.4936	3.1312	2.5976	2.1078	1.2935	0.2530	0.1660	0.2620	0.2432	0.6233	0.6733	0.8931	0.4628	0.3993	0.3933	1.2326	1.1535	1.2146	1.0008	1.2911	0.3942
