Rainfall (inch/month)																																									
Year Month	WBA10	WBA11	WBA12	WBA13	WBA14	WBA15N	WBA15S	WBA16	WBA17N	WBA17S	WBA18	WBA19	WBA2	WBA20	WBA21	WBA22	WBA23	WBA24	WBA25	WBA26N	WBA26S	WBA3	WBA4	WBA5	WBA6	WBA60N	WBA60S	WBA61	WBA62	WBA63	WBA64	WBA70	WBA71	WBA72	WBA73	WBA7N	WBA7S	WBA8N	WBA8S	WBA9	WBA90
1922  09	0	0.042850619	0	0	0	0	0	0	0.299078529	0.116120674	0.171956782	0	0	0.014440041	0	0	0	0	0	0	0	0	0	0	0	0	0.082267638	0.281401098	0.002632217	0.001951722	4.95565E-05	1.148227734	0.480933593	0.028459829	0.026647734	0.024881443	0.240922326	0.154780878	0.224672874	0.172988762	0.006097807
1922  10	2.941406903	2.163673849	1.912827898	2.5462156	2.044657124	1.559256478	1.491775695	1.42557365	1.639052854	1.432505726	1.473380693	1.274674863	3.512067371	1.884957638	0.709562453	0.820344712	1.301298928	1.544550362	1.703999536	0.749322655	0.711953578	3.387667621	3.370998593	3.00832256	1.949926696	0.801359631	0.751384629	1.01204195	0.728252807	0.509736975	0.295551988	1.286440332	0.837476751	0.064904864	0.025563116	1.844518382	1.717808271	1.750856043	1.47302645	1.862599769	0.127469704
1922  11	4.79973762	4.141326536	3.751771704	4.925694131	4.237282856	3.231353886	3.091508841	2.954313815	5.252031421	3.792301659	4.120107942	2.738659655	3.005576048	4.107218343	2.927301523	2.897161316	2.909499148	3.743633127	3.699194876	3.153399507	2.993868155	2.873255404	3.746787613	4.319181487	4.034996827	1.943627592	1.628802718	2.023065481	1.811198683	2.15385888	2.176032798	2.594144141	1.916624509	1.353889041	1.25852242	3.970328545	5.06698677	4.409182234	4.447626355	4.530146186	0.876694072
1922  12	9.360058399	9.016966848	10.84397644	13.9186855	13.303723	10.14542538	9.706356328	9.2756075	7.381925117	8.142549397	7.699261107	8.376791226	7.006465376	8.55386694	5.919063227	6.454853548	8.665536102	10.55627374	7.966147615	6.369242569	6.050243524	7.107325657	5.306125352	7.616682226	4.430774028	5.065963946	4.306262327	4.698077572	4.031554751	3.571316781	2.950949313	4.433434863	3.859243902	2.574267117	2.285548369	4.498237311	7.699858069	6.238434968	6.886369701	7.179843774	4.137728995
1923  01	3.705260633	3.037830804	3.205315601	4.180361836	3.712666883	2.8312815	2.708750603	2.588541628	2.117662131	2.317672443	2.181742685	2.359290485	3.445162669	2.409940653	1.975817491	2.067641373	2.465608952	3.066668754	2.200804888	2.133488115	2.024721288	3.64061238	1.715271497	2.870669688	1.447965369	1.308856713	1.358938615	2.451184512	2.091477033	1.588362047	1.196736128	1.849922461	1.911847726	1.53405742	1.3535121	1.446154854	2.198371684	1.974916355	1.965012954	2.376899737	1.51464394
1923  02	1.846929916	1.185695325	0.839183054	1.156315078	0.766746422	0.584721179	0.559415885	0.534590119	0.78960576	0.607134877	0.653112477	0.479724705	0.943075391	0.634471488	0.293202114	0.330981415	0.492136829	0.589794023	0.592980953	0.312217773	0.29729335	0.961635459	0.664857035	1.357822179	0.51161443	0.967359513	0.661119054	0.473514528	0.375245043	0.4280544	0.320532169	0.765485156	0.446745039	0.060125926	0.047819186	0.514967198	0.765974273	0.793035001	0.678549963	1.030987461	0.642108068
1923  03	0	0.09697285	0.235352116	0.287753673	0.33629229	0.256456658	0.245357844	0.23446935	0.047869425	0.170451343	0.114858073	0.228783483	0.605398004	0.064754015	0.407824552	0.377459705	0.257128395	0.36400072	0.066255576	0.447512141	0.42431858	0.688374037	0.009107813	0.004073456	0.028959307	0.130784898	0.116835786	0.311301738	0.116756628	0.141934303	0.203222603	0.893066016	0.457828898	0.249848298	0.237461871	0.029305273	0.049013157	0.032174661	0.059575861	0.027678202	0.119149352
1923  04	4.662927997	3.806686154	3.84232737	5.026761323	4.398703155	3.354453082	3.209280606	3.066859103	3.062784679	2.990591485	2.903309891	2.822188045	4.856063486	2.477074372	2.751998441	2.79313441	2.982238723	3.789043127	2.251629687	2.986883362	2.834227425	4.974296261	3.174850315	3.979888415	2.171948053	2.313337125	1.630162453	2.051454956	2.562982591	3.633328478	3.804697761	1.29707207	1.775773999	2.651304944	2.506482144	2.158863805	2.963036978	2.780715759	2.716647718	3.221327921	2.717685653
1923  05	0.706849721	0.501574978	0.482951611	0.640344345	0.524615973	0.400072386	0.382758237	0.365772187	0.203399703	0.276207537	0.253188793	0.319586888	0.537701739	0.051328426	0.076343346	0.128955509	0.31939825	0.359335249	0.057926612	0.083258073	0.079440606	0.569887503	0.234521192	0.511120944	0.144796537	0.130694046	0.186652137	0.288164448	0.077508386	0.083501086	0.034591543	0.935592969	0.416587688	0.024614117	0.019689834	0.144262105	0.173158729	0.23932134	0.188326255	0.337425087	0.098663203
1923  06	0.957667364	0.61436432	0.533456838	0.719787871	0.538067664	0.410330652	0.392572551	0.375150961	0.143584671	0.258574771	0.222291236	0.328261945	1.871227438	0.039857497	0.085670185	0.138449382	0.32868745	0.371354245	0.031822279	0.093665332	0.088810866	1.801753943	1.690303423	1.188149702	0.656410967	0.015756307	0.066271153	0.226684218	0.002120397	0	0	0.92496123	0.382771564	0	0	0.586936785	0.126459803	0.373697304	0.143657746	0.380818303	0
